Time,Air Flow Rate,HF-N,HF-E,HF-S,HF-W,NG Flow Rate,HRR_ideal,HRR_cal,K_smoke,T_duct,rho_duct,V_duct,MF_duct,O2_duct_dry,CO2_duct_dry,CO_duct_dry,H2O_duct,H2O_amb,RH,T_amb,Hydrogen Cyanide,U_Hydrogen Cyanide,Sulfur Dioxide,U_Sulfur Dioxide,Hydrogen Chloride,U_Hydrogen Chloride,Hydrogen Fluoride,U_Hydrogen Fluoride,Hydrogen Bromide,U_Hydrogen Bromide,Acrolein,U_Acrolein,Formaldehyde,U_Formaldehyde,Nitric Oxide,U_Nitric Oxide,Nitrogen Dioxide,U_Nitrogen Dioxide,Ammonia,U_Ammonia,Methane,U_Methane,Water_%,U_Water_%,Ethene,U_Ethene,Propene,U_Propene,Carbon Dioxide_Low,U_Carbon Dioxide_Low,Ethane,U_Ethane,Propane,U_Propane,Acetylene,U_Acetylene,"1,3-Butadiene","U_1,3-Butadiene",IsoButene,U_IsoButene,n-Pentane,U_n-Pentane,Ethanol,U_Ethanol,Nitrous Oxide,U_Nitrous Oxide,NOx,U_NOx
s,L/min,kW/m2,kW/m2,kW/m2,kW/m2,L/min,kW,kW,1/m,C,kg/m3,m/s,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,%,C,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
2330,868.6,0.193,0.183,0.077,0.062,83.7,49.8,44.0,-0.000204,38.2,1.12,9.72,2.00,0.208003,0.001183,0.000034,0.008892,0.01263,45.0,25.7,-0.020,0.016,1.369,0.194,-0.169,0.022,-0.082,0.016,-0.125,0.012,-0.738,73.713,1.368,0.001,-0.050,0.128,1.287,3.826,-0.071,0.111,91.461,2.914,0.087,0.005,1.187,0.001,-0.030,0.003,371.956,7.172,8.037,1.604,1.631,1.964,0.132,0.189,0.133,0.008,0.029,0.006,-0.162,0.863,0.147,0.005,0.018,0.049,1.237,0.000
2340,868.4,0.193,0.173,0.084,0.059,83.6,49.8,44.0,-0.000263,38.2,1.12,9.72,2.00,0.208009,0.001182,0.000033,0.008885,0.012679,45.0,25.7,0.000,0.015,1.257,0.122,-0.186,0.034,-0.024,0.080,-0.196,0.017,0.203,74.387,1.322,0.002,0.086,0.174,1.485,3.797,-0.056,0.106,92.202,2.915,0.084,0.005,1.173,-0.002,-0.190,-0.006,369.337,7.023,8.100,1.619,1.676,1.982,0.134,0.205,0.169,0.011,0.046,0.008,-0.185,0.871,0.161,0.007,0.031,0.045,1.570,0.000
2350,868.5,0.189,0.163,0.082,0.059,83.7,49.8,42.7,-0.000369,38.1,1.12,9.76,2.01,0.208043,0.001166,0.000033,0.008867,0.012694,45.0,25.7,-0.037,-0.004,1.406,-0.408,-0.151,-0.003,-0.017,-0.029,-0.156,0.008,-0.885,75.846,1.236,-0.003,-0.045,-0.031,1.570,4.033,-0.069,0.114,98.355,3.054,0.063,-0.001,1.242,-0.005,-0.005,-0.016,394.187,7.854,8.361,1.651,1.616,2.021,0.269,-0.112,0.184,0.003,-0.051,0.002,-0.151,0.888,0.123,0.002,0.017,0.062,1.524,0.000
2360,868.4,0.184,0.159,0.081,0.058,83.3,49.5,40.2,-0.000149,37.7,1.13,9.73,2.01,0.208122,0.001162,0.000033,0.008879,0.012652,45.0,25.7,0.010,-0.091,1.097,-4.226,-0.151,-0.064,0.329,-0.038,-0.213,-0.007,0.330,93.339,0.667,-0.027,0.216,-0.973,3.560,4.604,-0.081,0.154,124.450,3.560,-0.333,-0.028,1.548,-0.014,0.100,-0.051,532.150,8.831,10.563,2.031,2.130,2.487,0.742,-1.556,0.151,-0.016,0.025,-0.012,-0.262,1.093,0.088,-0.006,0.040,0.077,3.776,0.000
2370,868.5,0.185,0.156,0.077,0.059,83.3,49.6,39.2,-0.000541,37.7,1.13,9.79,2.02,0.208157,0.00114,0.000032,0.008902,0.012633,45.0,25.7,0.048,-0.144,0.122,-6.989,-0.074,-0.059,0.430,-0.046,-0.279,-0.007,0.694,105.400,0.331,-0.036,0.330,-1.534,3.363,5.021,-0.058,0.183,142.212,3.924,-0.598,-0.044,1.753,-0.016,0.097,-0.055,568.050,10.048,12.225,2.294,2.469,2.809,1.248,-2.870,0.264,-0.019,0.020,-0.015,-0.318,1.234,0.007,-0.008,0.044,0.088,3.693,0.000
2380,868.5,0.183,0.155,0.082,0.058,83.5,49.7,38.9,-0.000593,37.8,1.13,9.88,2.04,0.208162,0.001136,0.000031,0.008951,0.012603,45.0,25.7,0.074,-0.160,-0.410,-8.760,-0.107,-0.091,0.438,-0.050,-0.314,-0.007,0.519,110.400,0.201,-0.044,0.290,-1.770,4.736,5.229,-0.074,0.198,149.537,4.112,-0.727,-0.049,1.853,-0.015,-0.021,-0.054,566.013,9.770,12.934,2.403,2.658,2.942,1.606,-3.957,0.202,-0.011,0.008,-0.008,-0.357,1.292,-0.051,-0.008,0.050,0.090,5.027,0.000
2390,868.4,0.185,0.155,0.082,0.061,83.5,49.7,40.8,-0.000467,37.7,1.13,9.78,2.02,0.208117,0.001153,0.000032,0.008987,0.01257,45.0,25.7,0.091,-0.184,-0.877,-9.856,-0.118,-0.100,0.580,-0.054,-0.323,-0.007,0.429,114.225,0.151,-0.046,0.535,-1.880,4.636,5.567,-0.076,0.203,155.863,4.314,-0.805,-0.056,1.882,-0.012,0.133,-0.044,576.337,10.187,13.494,2.486,2.743,3.044,1.936,-4.666,0.209,-0.014,0.052,-0.011,-0.369,1.337,-0.012,-0.006,0.058,0.096,5.171,0.000
2400,868.6,0.188,0.159,0.081,0.060,84.0,50.0,41.0,-0.000557,37.7,1.13,9.69,2.00,0.208116,0.001156,0.000032,0.009003,0.012577,45.0,25.7,0.034,-0.169,-0.975,-10.284,-0.071,-0.075,0.501,0.027,-0.326,-0.003,0.176,116.187,0.135,-0.047,0.429,-1.935,4.908,5.604,-0.079,0.211,159.163,4.405,-0.840,-0.051,1.934,-0.016,0.160,-0.057,580.850,10.679,13.809,2.529,2.762,3.096,2.146,-5.126,0.192,-0.007,0.022,-0.005,-0.350,1.360,-0.038,-0.005,0.053,0.096,5.337,0.000
2410,868.4,0.188,0.160,0.074,0.062,83.6,49.7,40.1,-0.000434,37.9,1.13,9.68,2.00,0.208127,0.00115,0.000032,0.00901,0.012573,45.0,25.7,0.042,-0.183,-1.192,-10.676,-0.112,-0.108,0.424,0.019,-0.377,-0.001,1.795,116.413,0.101,-0.049,0.444,-1.966,4.749,5.553,-0.065,0.212,159.537,4.430,-0.858,-0.056,1.944,-0.014,0.090,-0.048,580.100,10.053,13.907,2.534,2.837,3.102,2.220,-5.393,0.237,0.000,0.083,0.000,-0.395,1.363,-0.042,-0.007,0.056,0.099,5.193,0.000
2420,868.5,0.189,0.173,0.082,0.061,83.5,49.7,40.4,-0.000571,38.0,1.13,9.75,2.01,0.208109,0.001157,0.000032,0.009018,0.012578,45.0,25.7,0.027,-0.181,-1.288,-10.931,-0.049,-0.094,0.340,0.010,-0.332,-0.004,0.350,116.625,0.100,-0.046,0.381,-1.997,4.483,5.585,-0.038,0.211,160.025,4.389,-0.869,-0.055,1.943,-0.016,0.074,-0.058,583.313,10.539,13.943,2.538,2.810,3.108,2.311,-5.560,0.184,-0.007,0.048,-0.005,-0.385,1.365,-0.030,-0.004,0.051,0.096,4.864,0.000
2430,868.5,0.192,0.172,0.077,0.059,83.9,49.9,41.8,-0.000792,38.0,1.13,9.69,2.00,0.208068,0.001174,0.000033,0.00904,0.012615,45.0,25.7,0.060,-0.165,-1.219,-10.718,-0.223,-0.071,0.483,0.004,-0.331,0.004,0.518,120.113,0.097,-0.042,0.413,-1.921,5.188,5.196,-0.052,0.220,156.262,4.359,-0.874,-0.050,1.999,-0.008,0.085,-0.027,608.675,11.411,14.090,2.614,3.028,3.200,2.261,-5.514,0.170,0.006,0.006,0.004,-0.435,1.406,-0.020,-0.001,0.065,0.100,5.601,0.000
2440,868.5,0.193,0.176,0.070,0.059,83.6,49.7,43.1,-0.000948,38.0,1.13,9.73,2.01,0.208037,0.001163,0.000033,0.009025,0.0126,45.0,25.7,0.047,-0.125,-0.239,-6.716,-0.143,-0.046,0.122,0.096,-0.268,0.001,0.090,97.356,0.257,-0.027,0.357,-1.389,3.923,4.353,-0.111,0.159,124.312,3.287,-0.647,-0.038,1.557,-0.001,0.061,-0.003,529.025,10.826,11.102,2.119,2.330,2.594,1.266,-3.149,0.155,0.018,-0.019,0.014,-0.331,1.140,0.037,0.004,0.053,0.075,4.280,0.000
2450,868.6,0.190,0.169,0.074,0.058,83.6,49.7,43.4,-0.000905,37.9,1.13,9.79,2.02,0.208024,0.001169,0.000033,0.008977,0.012607,45.0,25.7,0.080,-0.072,0.667,-3.076,-0.222,-0.041,0.155,0.068,-0.205,0.004,-1.536,78.936,0.684,-0.015,0.160,-0.726,2.018,3.567,-0.053,0.122,99.106,2.568,-0.323,-0.022,1.264,-0.001,0.056,-0.004,417.462,9.294,8.925,1.718,1.785,2.103,0.590,-1.217,0.167,0.002,0.080,0.001,-0.212,0.924,0.089,0.006,0.028,0.052,2.178,0.000
2460,868.5,0.186,0.166,0.077,0.057,84.0,50.0,43.6,-0.000818,37.9,1.13,9.72,2.00,0.208022,0.001169,0.000033,0.008919,0.012645,45.0,25.7,0.079,-0.025,1.056,-1.198,-0.072,0.029,0.361,0.069,-0.167,0.006,-0.593,73.040,1.029,-0.005,0.306,-0.252,1.600,3.362,-0.052,0.107,91.048,2.580,-0.121,-0.008,1.174,-0.001,0.082,-0.002,370.713,8.212,8.094,1.590,1.632,1.946,0.279,-0.358,0.089,0.011,-0.083,0.008,-0.188,0.855,0.091,0.007,0.028,0.038,1.906,0.000
2470,868.5,0.184,0.168,0.073,0.055,83.4,49.6,42.5,-0.000513,37.9,1.13,9.75,2.01,0.208066,0.001154,0.000033,0.008867,0.012658,45.0,25.7,0.027,-0.001,1.324,-0.583,-0.141,0.029,0.127,0.071,-0.133,0.013,0.019,71.230,1.167,-0.004,-0.045,-0.077,0.882,3.455,-0.053,0.111,88.354,2.584,-0.015,0.000,1.162,0.003,0.000,0.011,354.575,7.875,7.895,1.550,1.602,1.898,0.203,-0.082,0.179,0.011,0.027,0.008,-0.186,0.834,0.103,0.006,0.021,0.040,0.838,0.000
2480,868.5,0.185,0.163,0.071,0.055,83.4,49.6,43.0,-0.000829,37.8,1.13,9.74,2.01,0.20804,0.00116,0.000033,0.00885,0.012734,45.0,25.7,-0.026,0.006,1.311,-0.219,-0.102,0.033,0.059,0.080,-0.170,0.012,0.386,71.079,1.243,0.000,0.045,0.005,0.777,3.440,-0.060,0.099,88.080,2.671,0.045,0.002,1.086,0.003,0.056,0.011,359.612,8.405,7.837,1.547,1.583,1.894,0.166,0.077,0.103,0.009,0.015,0.007,-0.179,0.832,0.151,0.004,0.035,0.046,0.822,0.000
2490,868.5,0.186,0.160,0.071,0.054,83.7,49.8,43.0,-0.000991,37.9,1.13,9.76,2.01,0.20805,0.001158,0.000033,0.00884,0.012745,45.0,25.7,-0.020,0.023,1.228,-0.027,-0.147,0.062,-0.157,0.067,-0.190,0.014,-0.788,71.814,1.300,0.001,-0.169,0.072,1.385,3.545,-0.093,0.105,88.950,2.746,0.042,0.007,1.155,0.000,-0.069,0.001,387.913,9.138,7.915,1.563,1.628,1.913,0.150,0.168,0.150,0.017,0.013,0.013,-0.193,0.841,0.158,0.008,0.033,0.036,1.215,0.000
2500,868.6,0.186,0.164,0.073,0.054,83.9,49.9,43.2,-0.000883,38.0,1.13,9.76,2.01,0.208034,0.001164,0.000033,0.008842,0.012712,45.0,25.7,-0.007,0.019,1.440,0.061,-0.078,0.035,0.190,0.026,-0.172,0.013,-0.649,72.110,1.304,0.002,-0.121,0.150,0.821,3.559,-0.058,0.105,89.644,2.763,0.077,0.006,1.133,0.002,0.103,0.006,372.775,8.955,7.977,1.569,1.603,1.921,0.164,0.176,0.120,0.015,0.016,0.011,-0.186,0.844,0.140,0.006,0.019,0.038,0.700,0.000
2510,868.5,0.190,0.164,0.073,0.056,83.2,49.5,43.2,-0.000819,38.0,1.13,9.78,2.02,0.208036,0.001166,0.000033,0.008838,0.01263,45.0,25.7,0.014,0.023,1.244,-0.022,-0.185,0.001,0.005,-0.021,-0.141,0.015,-0.403,72.039,1.283,0.000,-0.262,0.102,0.479,3.631,-0.053,0.110,89.378,2.745,0.075,0.007,1.186,0.001,-0.184,0.004,363.225,8.769,7.936,1.568,1.612,1.920,0.089,0.179,0.126,0.022,-0.067,0.017,-0.178,0.843,0.132,0.008,0.031,0.041,0.217,0.000
2520,868.6,0.188,0.172,0.074,0.059,83.9,50.0,43.6,-0.000896,38.1,1.12,9.70,2.00,0.208027,0.001169,0.000033,0.008838,0.012593,45.0,25.7,-0.010,0.014,1.023,0.018,-0.091,0.058,0.248,-0.042,-0.148,0.011,1.556,72.150,1.303,0.001,0.235,0.101,0.817,3.698,-0.086,0.108,89.892,2.816,0.065,0.004,1.167,0.001,0.146,0.003,360.012,8.640,7.971,1.570,1.578,1.922,0.145,0.219,0.137,0.016,-0.010,0.012,-0.166,0.845,0.151,0.006,0.019,0.044,1.052,0.000
2530,868.5,0.189,0.157,0.066,0.059,83.8,49.9,43.2,-0.000852,38.1,1.12,9.60,1.98,0.208038,0.001165,0.000033,0.008837,0.012654,45.0,25.7,0.014,0.014,1.370,0.053,-0.117,0.022,0.060,0.029,-0.150,0.011,-0.861,72.087,1.305,0.001,-0.112,0.210,1.645,3.623,-0.041,0.111,89.324,2.765,0.088,0.005,1.185,0.001,0.112,0.004,357.725,8.174,8.026,1.569,1.600,1.921,0.099,0.202,0.034,0.010,-0.075,0.008,-0.183,0.844,0.158,0.006,0.032,0.042,1.533,0.000
2540,868.6,0.187,0.167,0.076,0.060,83.4,49.6,42.9,-0.001051,38.0,1.13,9.60,1.98,0.20803,0.001169,0.000033,0.008837,0.012711,45.0,25.7,0.017,0.011,1.331,-0.016,-0.144,0.031,0.001,0.043,-0.203,0.013,-0.262,72.462,1.297,0.002,-0.040,0.215,1.207,3.609,-0.056,0.108,90.061,2.818,0.079,0.003,1.162,0.003,-0.028,0.010,357.337,7.415,7.999,1.577,1.639,1.931,0.155,0.173,0.195,0.019,-0.066,0.014,-0.189,0.848,0.149,0.005,0.011,0.038,1.167,0.000
2550,868.5,0.189,0.166,0.076,0.058,83.8,49.9,42.4,-0.001052,38.0,1.12,9.58,1.97,0.208037,0.001164,0.000033,0.008835,0.012701,45.0,25.7,-0.014,0.014,1.162,0.001,-0.199,0.033,0.145,0.089,-0.218,0.015,-0.685,73.319,1.304,0.001,-0.151,0.147,1.128,3.717,-0.054,0.110,91.208,2.803,0.084,0.004,1.174,-0.001,0.229,-0.002,360.875,8.194,8.153,1.596,1.672,1.954,0.105,0.207,0.068,0.011,-0.035,0.008,-0.207,0.858,0.130,0.006,0.024,0.044,0.977,0.000
2560,979.5,0.154,0.136,0.058,0.046,83.8,49.9,42.6,-0.001079,37.9,1.13,9.68,2.00,0.208027,0.001168,0.000033,0.008846,0.012695,45.0,25.7,-0.022,0.004,1.433,0.084,-0.044,0.041,-0.060,0.109,-0.225,0.018,0.010,77.809,1.313,0.001,-0.020,0.199,1.897,4.084,-0.084,0.112,97.071,3.086,0.076,0.001,1.207,0.003,0.126,0.012,351.875,7.194,8.708,1.694,1.813,2.073,0.132,0.183,0.165,0.027,-0.002,0.021,-0.246,0.911,0.181,0.008,0.011,0.044,1.877,0.000
2570,998.8,0.154,0.121,0.063,0.047,83.3,49.6,43.5,-0.00105,37.4,1.13,9.63,1.99,0.208005,0.001178,0.000034,0.008852,0.012664,45.0,25.7,-0.047,0.010,1.684,0.128,-0.120,0.042,0.191,0.070,-0.226,0.021,0.450,90.870,1.337,0.002,-0.277,0.176,1.129,4.841,-0.074,0.108,114.700,3.705,0.088,0.003,1.197,-0.001,-0.014,-0.002,331.278,7.113,10.342,1.978,2.135,2.421,0.067,0.190,0.128,0.017,-0.054,0.013,-0.299,1.064,0.112,0.007,-0.001,0.048,0.851,0.000
2580,998.1,0.159,0.136,0.073,0.049,84.0,50.0,39.6,-0.001254,37.3,1.13,9.65,1.99,0.208141,0.001107,0.000034,0.008782,0.012608,45.0,25.7,-0.028,0.011,1.615,0.135,-0.148,0.048,0.056,0.052,-0.225,0.027,-0.686,96.910,1.338,0.002,-0.257,0.171,1.972,5.187,-0.078,0.118,123.825,4.097,0.083,0.004,1.252,-0.001,0.114,-0.003,328.375,7.110,11.163,2.109,2.272,2.582,0.065,0.177,0.094,0.003,-0.029,0.002,-0.322,1.134,0.153,0.008,0.029,0.050,1.714,0.000
2590,998.6,0.155,0.135,0.066,0.048,83.6,49.8,39.2,-0.001161,37.2,1.13,9.58,1.98,0.208154,0.001092,0.000035,0.008753,0.012587,45.0,25.7,-0.020,0.015,1.914,-0.083,-0.101,0.013,0.123,-0.021,-0.248,0.028,0.095,98.194,1.339,0.002,0.102,0.178,2.130,5.190,-0.031,0.124,125.838,4.148,0.074,0.005,1.279,0.002,0.170,0.007,326.100,7.072,11.301,2.137,2.282,2.617,0.101,0.211,0.072,0.020,-0.034,0.015,-0.311,1.149,0.125,0.008,0.023,0.055,2.232,0.000
2600,998.2,0.157,0.139,0.061,0.049,83.8,49.9,40.4,-0.001171,37.2,1.13,9.58,1.98,0.208127,0.001101,0.000036,0.008754,0.012554,45.0,25.7,0.000,0.004,1.703,-0.095,-0.088,0.028,0.023,0.094,-0.257,0.026,-1.647,98.821,1.361,0.005,-0.062,0.103,2.726,5.351,-0.045,0.122,126.425,4.193,0.089,0.001,1.276,0.000,-0.023,-0.001,326.612,6.650,11.454,2.151,2.340,2.633,0.136,0.176,0.148,0.012,0.020,0.009,-0.349,1.157,0.155,0.008,0.015,0.057,2.664,0.000
2610,998.7,0.156,0.143,0.061,0.050,83.6,49.8,39.3,-0.001173,37.1,1.13,9.74,2.01,0.208141,0.001097,0.000037,0.008756,0.012512,45.0,25.7,-0.008,0.013,1.713,-0.073,-0.137,0.027,-0.008,0.041,-0.223,0.028,-0.186,98.110,1.365,0.000,-0.163,0.198,1.777,5.203,-0.039,0.125,125.462,4.190,0.082,0.004,1.288,0.001,0.096,0.005,324.912,6.372,11.371,2.135,2.308,2.614,0.131,0.143,0.117,0.015,0.054,0.011,-0.338,1.148,0.171,0.009,0.010,0.050,1.614,0.000
2620,998.2,0.152,0.132,0.068,0.049,83.6,49.8,39.7,-0.001278,37.0,1.13,9.82,2.03,0.208132,0.0011,0.000036,0.008753,0.012555,45.0,25.7,-0.015,0.018,1.990,0.074,-0.155,0.033,-0.033,0.057,-0.229,0.023,-0.667,97.285,1.337,0.002,0.069,0.185,2.437,5.210,-0.080,0.119,124.538,4.114,0.076,0.006,1.229,0.007,0.033,0.023,322.962,6.498,11.310,2.117,2.278,2.592,0.128,0.217,0.108,0.021,-0.015,0.016,-0.312,1.139,0.156,0.008,0.035,0.052,2.506,0.000
2630,998.4,0.149,0.125,0.068,0.048,83.4,49.7,39.5,-0.00121,36.8,1.13,9.80,2.03,0.20816,0.001092,0.000036,0.008739,0.012629,45.0,25.7,0.003,0.029,1.626,0.108,-0.151,0.061,-0.040,0.086,-0.197,0.026,-0.327,96.879,1.368,0.002,0.027,0.113,2.160,5.132,-0.034,0.119,124.125,4.117,0.079,0.009,1.244,0.003,0.017,0.012,321.063,6.574,11.240,2.109,2.343,2.582,0.109,0.175,0.118,0.027,-0.024,0.020,-0.344,1.134,0.137,0.007,0.034,0.050,2.188,0.000
2640,998.3,0.148,0.119,0.069,0.046,84.0,50.0,39.4,-0.001482,36.7,1.13,9.63,1.99,0.208172,0.001087,0.000035,0.008736,0.012601,45.0,25.7,-0.037,0.027,1.710,0.194,-0.255,0.020,0.113,0.093,-0.226,0.029,-0.159,97.434,1.359,0.001,-0.075,0.150,2.498,5.101,-0.044,0.118,124.450,4.122,0.075,0.008,1.233,-0.002,0.077,-0.006,320.450,6.555,11.269,2.120,2.253,2.596,0.103,0.209,0.082,0.015,-0.017,0.011,-0.318,1.141,0.136,0.008,0.007,0.045,2.423,0.000
2650,998.2,0.145,0.112,0.067,0.044,83.9,50.0,39.3,-0.001307,36.7,1.13,9.68,2.00,0.208177,0.001084,0.000035,0.008731,0.01258,45.0,25.7,-0.018,0.016,1.739,0.025,-0.184,0.045,0.069,0.018,-0.196,0.023,1.125,98.262,1.388,0.002,-0.332,0.158,2.349,5.193,-0.064,0.114,125.675,4.168,0.064,0.005,1.239,0.001,0.010,0.003,322.212,6.233,11.426,2.138,2.335,2.618,0.107,0.156,0.071,0.016,-0.016,0.012,-0.331,1.150,0.148,0.007,0.026,0.042,2.017,0.000
2660,998.5,0.144,0.110,0.063,0.043,83.7,49.8,38.8,-0.001463,36.6,1.13,9.71,2.01,0.20817,0.001085,0.000035,0.008736,0.012602,45.0,25.7,-0.004,0.011,1.733,0.037,-0.199,0.045,0.156,0.007,-0.251,0.026,-1.569,98.359,1.330,0.003,-0.074,0.153,1.725,5.209,-0.067,0.116,125.738,4.194,0.071,0.004,1.223,0.002,0.002,0.007,322.162,6.256,11.468,2.141,2.312,2.621,0.133,0.182,0.045,0.016,-0.004,0.012,-0.333,1.152,0.156,0.007,0.009,0.048,1.651,0.000
2670,998.1,0.146,0.110,0.066,0.042,83.7,49.8,39.3,-0.001243,36.7,1.13,9.72,2.01,0.208157,0.001093,0.000035,0.008746,0.012606,45.0,25.7,0.006,0.010,1.879,0.159,-0.236,0.021,0.228,0.110,-0.201,0.029,-0.591,98.494,1.341,0.003,0.149,0.165,2.420,5.317,-0.067,0.119,126.388,4.200,0.065,0.003,1.253,0.002,0.005,0.007,326.050,6.555,11.445,2.144,2.357,2.625,0.109,0.205,0.197,0.022,-0.047,0.016,-0.331,1.153,0.177,0.009,0.008,0.047,2.569,0.000
2680,998.6,0.143,0.111,0.058,0.041,83.5,49.7,39.4,-0.001534,36.6,1.13,9.79,2.03,0.208161,0.001091,0.000035,0.008753,0.012613,45.0,25.7,0.013,0.011,1.681,0.055,-0.211,0.028,-0.039,0.138,-0.237,0.023,-1.144,97.976,1.373,0.000,-0.146,0.185,2.307,5.280,-0.106,0.117,125.413,4.159,0.065,0.003,1.255,-0.002,0.247,-0.006,322.188,6.414,11.389,2.132,2.289,2.611,0.162,0.171,0.090,0.019,-0.123,0.014,-0.315,1.147,0.183,0.009,0.017,0.055,2.161,0.000
2690,998.0,0.139,0.112,0.062,0.041,83.8,49.9,40.2,-0.001198,36.6,1.13,9.74,2.02,0.20814,0.001098,0.000035,0.008755,0.012645,45.0,25.7,0.010,0.007,1.786,0.094,-0.144,0.026,0.119,0.068,-0.247,0.027,-0.356,98.289,1.355,0.004,0.107,0.147,2.513,5.268,-0.075,0.117,125.625,4.182,0.069,0.002,1.247,0.002,-0.054,0.007,323.212,5.805,11.468,2.139,2.307,2.619,0.117,0.137,0.162,0.019,-0.014,0.014,-0.330,1.151,0.179,0.008,0.030,0.054,2.620,0.000
2700,998.7,0.137,0.123,0.057,0.039,83.2,49.6,39.5,-0.001825,36.6,1.13,9.76,2.02,0.208168,0.001088,0.000035,0.008754,0.012608,45.0,25.7,-0.063,0.013,1.662,0.010,-0.277,0.045,0.131,0.049,-0.244,0.026,-1.015,98.539,1.341,0.003,0.089,0.164,1.773,5.208,-0.061,0.123,126.588,4.193,0.074,0.004,1.257,0.003,0.010,0.010,322.063,6.133,11.465,2.145,2.338,2.626,0.088,0.163,0.109,0.030,0.073,0.023,-0.328,1.154,0.176,0.007,0.022,0.054,1.862,0.000
2710,998.0,0.141,0.130,0.045,0.038,83.3,49.6,39.6,-0.001585,36.7,1.13,9.78,2.03,0.208157,0.001091,0.000035,0.008759,0.012596,45.0,25.7,-0.045,0.012,1.699,0.052,-0.153,0.041,-0.118,0.034,-0.287,0.024,0.312,98.564,1.369,0.002,0.010,0.096,1.830,5.287,-0.032,0.117,126.250,4.168,0.086,0.004,1.244,0.000,-0.025,0.000,322.150,6.621,11.521,2.145,2.331,2.626,0.070,0.185,0.208,0.023,0.067,0.017,-0.324,1.154,0.144,0.007,0.010,0.048,1.840,0.000
2720,998.7,0.143,0.128,0.042,0.035,83.0,49.4,39.9,-0.001303,36.7,1.13,9.78,2.03,0.208152,0.001093,0.000035,0.008764,0.012627,45.0,25.7,0.007,0.005,1.810,-0.084,-0.177,0.069,0.122,0.046,-0.174,0.021,-0.461,98.301,1.391,0.004,-0.089,0.096,2.265,5.210,-0.051,0.121,126.050,4.157,0.073,0.002,1.268,0.002,-0.014,0.007,320.925,5.844,11.510,2.139,2.303,2.619,0.149,0.141,0.193,0.011,-0.006,0.008,-0.322,1.151,0.150,0.006,0.033,0.048,2.176,0.000
2730,998.1,0.140,0.117,0.053,0.036,83.0,49.4,39.8,-0.00154,36.7,1.13,9.84,2.04,0.208158,0.001091,0.000036,0.00876,0.012593,45.0,25.7,-0.013,0.010,1.989,0.135,-0.132,0.073,-0.079,0.061,-0.206,0.026,0.588,98.413,1.346,0.004,-0.067,0.145,2.436,5.364,-0.075,0.118,125.963,4.143,0.090,0.003,1.247,0.002,0.149,0.009,319.912,6.002,11.550,2.142,2.311,2.622,0.114,0.132,0.048,0.015,-0.051,0.011,-0.319,1.152,0.159,0.006,0.021,0.048,2.368,0.000
2740,998.4,0.139,0.114,0.057,0.035,83.0,49.4,39.6,-0.001783,36.7,1.13,9.73,2.01,0.208162,0.001088,0.000035,0.008752,0.012564,45.0,25.7,0.022,0.003,1.671,0.220,-0.152,0.054,0.007,0.079,-0.162,0.024,-0.240,97.140,1.393,0.003,-0.032,0.193,2.215,5.173,-0.032,0.124,124.338,4.121,0.057,0.001,1.253,0.005,-0.056,0.016,317.188,6.157,11.364,2.114,2.316,2.588,0.135,0.176,0.148,0.006,-0.025,0.005,-0.322,1.137,0.165,0.007,0.026,0.048,2.183,0.000
2750,998.3,0.140,0.119,0.056,0.038,83.0,49.4,39.9,-0.001802,36.6,1.13,9.74,2.02,0.208161,0.001088,0.000035,0.008742,0.012544,45.0,25.7,0.033,0.011,1.762,-0.105,-0.213,0.001,-0.101,0.090,-0.280,0.025,1.738,97.904,1.346,0.001,0.012,0.172,1.126,5.176,-0.107,0.109,124.900,4.143,0.072,0.003,1.206,0.000,0.054,0.000,318.800,5.962,11.459,2.131,2.325,2.609,0.103,0.150,0.132,0.010,-0.097,0.007,-0.348,1.146,0.153,0.008,0.019,0.047,1.139,0.000
2760,998.2,0.142,0.118,0.052,0.037,84.0,50.0,39.0,-0.001593,36.6,1.13,9.77,2.02,0.208179,0.001081,0.000035,0.008742,0.012555,45.0,25.7,-0.033,0.005,1.968,0.001,-0.117,0.078,-0.158,0.055,-0.195,0.024,0.476,97.795,1.396,0.004,-0.087,0.139,1.935,5.184,-0.089,0.120,125.050,4.121,0.084,0.002,1.255,0.003,0.018,0.009,318.125,6.280,11.431,2.128,2.344,2.606,0.105,0.150,0.086,0.005,0.004,0.004,-0.343,1.145,0.163,0.007,0.029,0.046,1.848,0.000
